Instance;Time;Solution
20;22.10822868347168;[[27, 27], [3, 3, 25, 25], [3, 4, 25, 1], [3, 5, 19, 11], [3, 6, 13, 1], [3, 7, 16, 1], [3, 8, 22, 20], [3, 9, 25, 5], [3, 10, 19, 1], [3, 11, 25, 14], [3, 12, 19, 16], [3, 19, 22, 1], [3, 20, 16, 8], [3, 21, 13, 7], [4, 3, 9, 1], [4, 4, 9, 24], [4, 6, 1, 1], [4, 7, 1, 7], [4, 8, 5, 1], [4, 14, 1, 14], [4, 19, 5, 9], [4, 20, 9, 4]]
21;17.48786735534668;[[28, 28], [3, 3, 26, 26], [3, 4, 20, 1], [3, 5, 13, 24], [3, 6, 26, 1], [3, 7, 1, 1], [3, 8, 20, 5], [3, 9, 26, 17], [3, 10, 26, 7], [3, 11, 23, 18], [3, 16, 20, 13], [3, 17, 23, 1], [3, 21, 1, 8], [3, 23, 13, 1], [4, 3, 16, 26], [4, 4, 16, 22], [4, 5, 4, 24], [4, 8, 16, 14], [4, 13, 16, 1], [4, 23, 4, 1], [5, 6, 8, 14], [5, 9, 8, 20], [5, 13, 8, 1]]
22;300.0274887084961;[[29, 30], [3, 3, 22, 22], [3, 4, 1, 27], [3, 5, 4, 1], [3, 6, 7, 1], [3, 7, 7, 18], [3, 8, 1, 1], [3, 9, 4, 21], [3, 10, 11, 21], [3, 11, 7, 7], [3, 15, 4, 6], [3, 18, 1, 9], [3, 20, 10, 1], [4, 3, 22, 1], [4, 4, 21, 27], [4, 5, 18, 1], [4, 6, 7, 25], [4, 7, 26, 1], [4, 9, 14, 18], [4, 15, 26, 8], [4, 18, 22, 4], [4, 20, 18, 6], [5, 4, 14, 27], [5, 8, 25, 23], [5, 17, 13, 1]]
23;3.994548797607422;[[30, 30], [3, 3, 28, 28], [3, 4, 28, 1], [3, 5, 25, 1], [3, 6, 5, 17], [3, 7, 19, 24], [3, 8, 5, 23], [3, 9, 28, 19], [3, 10, 19, 14], [3, 11, 22, 1], [3, 13, 19, 1], [3, 14, 28, 5], [3, 16, 5, 1], [3, 19, 22, 12], [3, 25, 25, 6], [4, 3, 1, 10], [4, 4, 1, 27], [4, 6, 1, 21], [4, 8, 1, 13], [4, 9, 1, 1], [11, 30, 8, 1]]
24;2.7306442260742188;[[31, 31], [3, 3, 29, 29], [3, 4, 1, 1], [3, 5, 1, 5], [3, 6, 29, 9], [3, 7, 4, 12], [3, 8, 29, 1], [3, 9, 26, 1], [3, 10, 26, 10], [3, 11, 4, 1], [3, 12, 26, 20], [3, 13, 4, 19], [3, 14, 29, 15], [3, 22, 1, 10], [3, 31, 7, 1], [4, 3, 22, 9], [4, 7, 22, 12], [4, 8, 22, 1], [4, 13, 22, 19], [12, 31, 10, 1]]
25;300.0455570220947;[[32, 33], [3, 3, 30, 30], [3, 4, 7, 8], [3, 5, 13, 29], [3, 6, 26, 1], [3, 7, 19, 16], [3, 8, 10, 26], [3, 9, 1, 7], [3, 10, 16, 24], [3, 11, 4, 8], [3, 12, 30, 5], [3, 13, 30, 17], [3, 14, 4, 20], [3, 15, 19, 1], [3, 18, 1, 16], [3, 22, 7, 12], [3, 23, 16, 1], [3, 24, 27, 10], [3, 25, 10, 1], [3, 27, 13, 1], [4, 3, 26, 7], [4, 4, 29, 1], [4, 5, 23, 19], [4, 6, 1, 1], [4, 7, 6, 1], [4, 10, 23, 24], [4, 11, 19, 23], [4, 18, 22, 1]]
26;300.00922775268555;[[33, 34], [3, 3, 30, 32], [3, 4, 8, 2], [3, 5, 27, 17], [3, 6, 27, 11], [3, 7, 17, 4], [3, 8, 11, 10], [3, 9, 11, 1], [3, 10, 27, 1], [3, 13, 27, 22], [3, 14, 8, 6], [3, 15, 8, 20], [3, 17, 11, 18], [3, 24, 17, 11], [3, 30, 20, 5], [3, 33, 14, 1], [4, 3, 19, 1], [4, 4, 30, 27], [4, 6, 23, 11], [4, 10, 23, 1], [4, 12, 30, 15], [4, 14, 30, 1], [4, 17, 23, 17], [7, 33, 1, 1]]
27;44.191184997558594;[[34, 34], [3, 3, 32, 32], [3, 4, 8, 1], [3, 5, 8, 5], [3, 6, 1, 29], [3, 7, 32, 15], [3, 8, 5, 1], [3, 9, 1, 20], [3, 10, 32, 22], [3, 11, 5, 9], [3, 12, 26, 23], [3, 13, 29, 22], [3, 14, 32, 1], [3, 21, 29, 1], [3, 22, 26, 1], [3, 25, 8, 10], [3, 34, 23, 1], [4, 4, 4, 31], [4, 5, 1, 15], [4, 11, 4, 20], [4, 14, 1, 1], [12, 34, 11, 1]]
28;5.104129791259766;[[35, 35], [3, 3, 33, 33], [3, 4, 30, 10], [3, 5, 23, 13], [3, 6, 33, 27], [3, 7, 33, 20], [3, 8, 23, 18], [3, 9, 30, 1], [3, 10, 27, 26], [3, 12, 19, 1], [3, 19, 33, 1], [3, 22, 30, 14], [4, 3, 26, 1], [4, 4, 23, 32], [4, 5, 26, 4], [4, 6, 23, 26], [4, 7, 1, 9], [4, 8, 1, 1], [4, 12, 22, 1], [4, 17, 26, 9], [4, 20, 1, 16], [4, 23, 19, 13], [14, 35, 5, 1]]
29;6.121397018432617;[[36, 36], [3, 3, 34, 34], [3, 4, 1, 1], [3, 5, 24, 10], [3, 6, 9, 31], [3, 7, 34, 16], [3, 8, 6, 5], [3, 9, 24, 1], [3, 10, 24, 27], [3, 11, 34, 23], [3, 12, 24, 15], [3, 14, 9, 1], [3, 15, 34, 1], [3, 16, 9, 15], [3, 24, 6, 13], [3, 36, 31, 1], [4, 3, 27, 12], [4, 11, 27, 1], [4, 22, 27, 15], [5, 3, 1, 5], [5, 4, 4, 1], [5, 14, 1, 23], [5, 15, 1, 8], [12, 36, 12, 1]]
