Instance;Elapsed Time;Solution
20;13.804;[[27, 27], [3, 3, 22, 21], [3, 4, 22, 24], [3, 5, 15, 13], [3, 6, 4, 22], [3, 7, 25, 1], [3, 8, 1, 1], [3, 9, 25, 19], [3, 10, 11, 18], [3, 11, 25, 8], [3, 12, 15, 1], [3, 19, 1, 9], [3, 20, 22, 1], [3, 21, 4, 1], [4, 3, 11, 15], [4, 4, 14, 18], [4, 6, 14, 22], [4, 7, 7, 21], [4, 8, 18, 1], [4, 14, 11, 1], [4, 19, 18, 9], [4, 20, 7, 1]]
21;14.469;[[28, 28], [3, 3, 11, 26], [3, 4, 8, 7], [3, 5, 22, 1], [3, 6, 8, 1], [3, 7, 5, 1], [3, 8, 8, 21], [3, 9, 11, 17], [3, 10, 8, 11], [3, 11, 14, 1], [3, 16, 11, 1], [3, 17, 14, 12], [3, 21, 5, 8], [3, 23, 22, 6], [4, 3, 25, 26], [4, 4, 25, 22], [4, 5, 1, 24], [4, 8, 25, 14], [4, 13, 25, 1], [4, 23, 1, 1], [5, 6, 17, 1], [5, 9, 17, 20], [5, 13, 17, 7]]
22;41.571;[[29, 29], [3, 3, 27, 1], [3, 4, 27, 26], [3, 5, 17, 25], [3, 6, 21, 19], [3, 7, 27, 4], [3, 8, 24, 1], [3, 9, 1, 21], [3, 10, 24, 9], [3, 11, 24, 19], [3, 15, 27, 11], [3, 18, 21, 1], [3, 20, 1, 1], [4, 3, 17, 22], [4, 4, 4, 26], [4, 5, 20, 25], [4, 6, 17, 16], [4, 7, 4, 19], [4, 9, 8, 21], [4, 15, 17, 1], [4, 18, 4, 1], [4, 20, 8, 1], [5, 4, 12, 18], [5, 8, 12, 22], [5, 17, 12, 1]]
23;10.889;[[30, 30], [3, 3, 7, 11], [3, 4, 7, 1], [3, 5, 25, 26], [3, 6, 7, 5], [3, 7, 7, 24], [3, 8, 1, 1], [3, 9, 1, 9], [3, 10, 7, 14], [3, 11, 28, 1], [3, 13, 1, 18], [3, 14, 4, 17], [3, 16, 4, 1], [3, 19, 28, 12], [3, 25, 25, 1], [4, 3, 21, 24], [4, 4, 21, 27], [4, 6, 21, 9], [4, 8, 21, 1], [4, 9, 21, 15], [11, 30, 10, 1]]
24;9.71;[[31, 31], [3, 3, 26, 29], [3, 4, 26, 1], [3, 5, 29, 9], [3, 6, 29, 26], [3, 7, 4, 1], [3, 8, 29, 1], [3, 9, 1, 1], [3, 10, 26, 19], [3, 11, 4, 21], [3, 12, 29, 14], [3, 13, 4, 8], [3, 14, 26, 5], [3, 22, 1, 10], [3, 31, 7, 1], [4, 3, 22, 29], [4, 7, 22, 9], [4, 8, 22, 1], [4, 13, 22, 16], [12, 31, 10, 1]]
25;91.161;[[32, 32], [3, 3, 30, 30], [3, 4, 21, 16], [3, 5, 15, 28], [3, 6, 30, 24], [3, 7, 18, 1], [3, 8, 1, 25], [3, 9, 24, 24], [3, 10, 4, 23], [3, 11, 24, 13], [3, 12, 24, 1], [3, 13, 21, 20], [3, 14, 27, 19], [3, 15, 21, 1], [3, 18, 27, 1], [3, 22, 8, 1], [3, 23, 30, 1], [3, 24, 1, 1], [3, 25, 18, 8], [3, 27, 15, 1], [4, 3, 7, 30], [4, 4, 4, 19], [4, 5, 11, 17], [4, 6, 11, 1], [4, 7, 7, 23], [4, 10, 11, 7], [4, 11, 11, 22], [4, 18, 4, 1]]
26;15.084;[[33, 33], [3, 3, 1, 31], [3, 4, 20, 23], [3, 5, 7, 29], [3, 6, 27, 1], [3, 7, 20, 27], [3, 8, 20, 1], [3, 9, 10, 25], [3, 10, 27, 24], [3, 13, 7, 1], [3, 14, 20, 9], [3, 15, 7, 14], [3, 17, 27, 7], [3, 24, 10, 1], [3, 30, 1, 1], [3, 33, 4, 1], [4, 3, 23, 1], [4, 4, 23, 4], [4, 6, 30, 28], [4, 10, 30, 18], [4, 12, 23, 8], [4, 14, 23, 20], [4, 17, 30, 1], [7, 33, 13, 1]]
27;19.23;[[34, 34], [3, 3, 29, 32], [3, 4, 29, 1], [3, 5, 32, 22], [3, 6, 29, 26], [3, 7, 29, 5], [3, 8, 32, 27], [3, 9, 20, 1], [3, 10, 23, 25], [3, 11, 23, 14], [3, 12, 26, 1], [3, 13, 23, 1], [3, 14, 29, 12], [3, 21, 32, 1], [3, 22, 26, 13], [3, 25, 20, 10], [3, 34, 13, 1], [4, 4, 16, 31], [4, 5, 16, 26], [4, 11, 16, 1], [4, 14, 16, 12], [12, 34, 1, 1]]
28;21.122;[[35, 35], [3, 3, 33, 6], [3, 4, 8, 32], [3, 5, 33, 1], [3, 6, 5, 11], [3, 7, 29, 29], [3, 8, 29, 21], [3, 9, 8, 23], [3, 10, 5, 1], [3, 12, 33, 9], [3, 19, 5, 17], [3, 22, 8, 1], [4, 3, 32, 21], [4, 4, 1, 24], [4, 5, 25, 24], [4, 6, 1, 18], [4, 7, 25, 29], [4, 8, 1, 28], [4, 12, 32, 24], [4, 17, 1, 1], [4, 20, 29, 1], [4, 23, 25, 1], [14, 35, 11, 1]]
29;26.212;[[36, 36], [3, 3, 28, 1], [3, 4, 28, 4], [3, 5, 34, 1], [3, 6, 34, 6], [3, 7, 5, 30], [3, 8, 10, 11], [3, 9, 34, 12], [3, 10, 10, 1], [3, 11, 10, 19], [3, 12, 25, 1], [3, 14, 28, 8], [3, 15, 28, 22], [3, 16, 34, 21], [3, 24, 25, 13], [3, 36, 31, 1], [4, 3, 1, 23], [4, 11, 1, 26], [4, 22, 1, 1], [5, 3, 8, 30], [5, 4, 8, 33], [5, 14, 5, 16], [5, 15, 5, 1], [12, 36, 13, 1]]
30;171.645;[[37, 37], [3, 3, 13, 35], [3, 4, 28, 34], [3, 5, 35, 8], [3, 6, 28, 28], [3, 7, 31, 1], [3, 8, 35, 30], [3, 9, 19, 19], [3, 11, 16, 1], [3, 12, 16, 26], [3, 13, 13, 22], [3, 14, 16, 12], [3, 17, 35, 13], [3, 18, 19, 1], [3, 21, 13, 1], [4, 3, 34, 5], [4, 4, 34, 1], [4, 5, 27, 1], [4, 6, 31, 8], [4, 10, 24, 28], [4, 22, 27, 6], [4, 24, 31, 14], [5, 3, 22, 1], [5, 4, 19, 34], [5, 6, 19, 28], [5, 10, 22, 4], [5, 14, 22, 14], [12, 37, 1, 1]]
31;16.432;[[38, 38], [3, 3, 25, 1], [3, 4, 25, 4], [3, 5, 36, 23], [3, 6, 33, 33], [3, 7, 29, 16], [3, 8, 25, 8], [3, 9, 32, 1], [3, 10, 33, 23], [3, 11, 36, 28], [3, 13, 32, 10], [4, 3, 35, 14], [4, 5, 35, 1], [4, 6, 35, 17], [4, 8, 35, 6], [4, 11, 25, 16], [4, 12, 25, 27], [4, 15, 28, 1], [4, 16, 29, 23], [24, 38, 1, 1]]
32;132.81;[[39, 39], [3, 3, 1, 30], [3, 4, 4, 31], [3, 5, 8, 35], [3, 6, 4, 25], [3, 7, 1, 33], [3, 8, 1, 11], [3, 9, 4, 16], [3, 10, 1, 1], [3, 11, 1, 19], [3, 15, 4, 1], [4, 3, 31, 29], [4, 4, 26, 10], [4, 5, 4, 35], [4, 6, 7, 29], [4, 8, 31, 32], [4, 9, 26, 1], [4, 12, 7, 1], [4, 15, 26, 14], [4, 16, 7, 13], [5, 3, 35, 7], [5, 4, 35, 36], [5, 5, 30, 24], [5, 6, 35, 1], [5, 8, 35, 10], [5, 10, 30, 1], [5, 11, 26, 29], [5, 13, 30, 11], [5, 18, 35, 18], [15, 39, 11, 1]]
33;23.944;[[40, 40], [3, 3, 32, 31], [3, 4, 32, 11], [3, 5, 35, 28], [3, 6, 35, 13], [3, 7, 32, 34], [3, 8, 35, 33], [3, 9, 35, 19], [3, 10, 32, 1], [3, 12, 35, 1], [3, 16, 32, 15], [3, 40, 38, 1], [4, 4, 1, 1], [4, 14, 1, 5], [4, 22, 1, 19], [5, 3, 5, 1], [5, 4, 5, 4], [5, 8, 5, 8], [5, 12, 5, 16], [5, 13, 5, 28], [22, 40, 10, 1]]
34;16.506;[[15, 40], [3, 11, 13, 30], [3, 13, 1, 25], [2, 9, 14, 15], [2, 7, 10, 2], [3, 9, 6, 32], [3, 7, 6, 25], [2, 11, 10, 14], [2, 13, 4, 25], [4, 11, 9, 30], [4, 13, 6, 12], [5, 3, 1, 38], [2, 11, 8, 1], [2, 2, 14, 1], [3, 11, 5, 1], [3, 2, 9, 25], [4, 5, 1, 1], [4, 6, 1, 6], [2, 12, 12, 15], [2, 1, 12, 2], [5, 3, 9, 27], [5, 13, 1, 12], [4, 12, 12, 3], [4, 1, 10, 1], [2, 5, 10, 9], [2, 6, 14, 24]]
35;16.781;[[15, 40], [2, 11, 14, 30], [3, 2, 2, 31], [7, 10, 7, 1], [4, 8, 12, 22], [5, 9, 5, 15], [2, 7, 6, 24], [1, 4, 5, 24], [1, 6, 1, 27], [5, 4, 7, 11], [3, 8, 5, 31], [3, 1, 2, 27], [5, 5, 9, 36], [1, 3, 8, 36], [4, 12, 8, 24], [2, 6, 12, 30], [4, 2, 5, 39], [4, 11, 12, 11], [2, 10, 14, 1], [2, 3, 10, 15], [2, 11, 5, 4], [4, 3, 2, 28], [4, 26, 1, 1], [4, 8, 1, 33], [2, 3, 5, 1], [2, 6, 10, 18]]
36;19.018;[[15, 40], [7, 12, 4, 8], [7, 7, 1, 1], [1, 7, 10, 1], [1, 5, 15, 16], [2, 3, 11, 1], [2, 6, 11, 4], [2, 7, 1, 34], [2, 5, 11, 10], [1, 3, 3, 38], [1, 6, 15, 26], [6, 12, 9, 20], [6, 9, 10, 32], [2, 12, 7, 20], [2, 7, 8, 1], [3, 10, 1, 24], [1, 4, 3, 34], [1, 5, 15, 21], [3, 16, 4, 25], [3, 5, 13, 11], [2, 4, 13, 16], [2, 5, 11, 15], [3, 10, 13, 1], [3, 9, 7, 32], [3, 16, 1, 8], [3, 5, 4, 20]]
37;62.497;[[30, 60], [5, 7, 26, 54], [5, 14, 26, 1], [8, 14, 15, 40], [8, 4, 15, 15], [13, 21, 6, 19], [11, 7, 15, 54], [11, 14, 15, 1], [5, 14, 1, 26], [5, 4, 1, 19], [3, 18, 28, 36], [3, 21, 28, 15], [11, 17, 1, 40], [11, 4, 1, 57], [4, 7, 1, 1], [4, 5, 4, 8], [7, 6, 1, 13], [5, 18, 8, 1], [5, 3, 1, 23], [3, 7, 5, 1], [3, 5, 1, 8], [4, 18, 19, 19], [4, 3, 19, 37], [2, 12, 13, 1], [2, 6, 13, 13], [5, 18, 23, 15], [5, 21, 23, 33], [3, 17, 12, 44], [3, 4, 12, 40]]
38;119.034;[[30, 60], [6, 18, 25, 36], [2, 12, 29, 24], [10, 7, 7, 1], [4, 23, 21, 27], [4, 1, 8, 40], [7, 7, 24, 54], [11, 4, 1, 57], [6, 5, 1, 35], [2, 7, 29, 17], [6, 11, 8, 41], [10, 19, 7, 8], [11, 5, 1, 52], [4, 2, 25, 34], [7, 5, 22, 17], [4, 2, 25, 22], [7, 12, 1, 40], [7, 13, 7, 27], [3, 6, 21, 50], [6, 10, 1, 1], [9, 16, 22, 1], [1, 4, 24, 50], [4, 10, 25, 24], [6, 24, 1, 11], [9, 9, 12, 52], [2, 1, 12, 40], [8, 5, 17, 22], [3, 5, 21, 56], [7, 25, 14, 27], [5, 21, 17, 1]]
39;100.526;[[30, 60], [9, 24, 5, 9], [9, 8, 5, 1], [9, 11, 5, 38], [9, 17, 16, 44], [4, 24, 1, 1], [4, 8, 1, 25], [1, 6, 1, 55], [1, 5, 1, 33], [4, 17, 1, 38], [3, 6, 2, 55], [3, 5, 25, 44], [12, 5, 2, 33], [12, 13, 14, 1], [14, 14, 14, 16], [2, 14, 26, 30], [2, 2, 26, 14], [8, 3, 8, 58], [8, 9, 8, 49], [12, 14, 14, 30], [12, 2, 14, 14], [6, 3, 25, 58], [6, 9, 25, 49], [2, 5, 14, 44], [2, 13, 26, 1], [3, 18, 28, 31], [3, 14, 28, 1], [3, 16, 28, 15], [3, 12, 5, 49]]
40;474.344
