Instance;Time;Solution
20;60.935;[[27, 27], [3, 3, 18, 6], [3, 4, 25, 1], [3, 5, 18, 1], [3, 6, 1, 22], [7, 3, 21, 25], [3, 8, 7, 1], [3, 9, 14, 9], [3, 10, 14, 18], [3, 11, 4, 13], [3, 12, 4, 1], [3, 19, 7, 9], [3, 20, 25, 5], [3, 21, 1, 1], [3, 4, 4, 24], [4, 4, 21, 21], [4, 6, 21, 15], [4, 7, 10, 21], [4, 8, 14, 1], [4, 14, 21, 1], [4, 19, 17, 9], [4, 20, 10, 1]]
21;86.233;[[28, 28], [3, 3, 23, 4], [4, 3, 22, 1], [3, 5, 8, 24], [3, 6, 26, 1], [3, 7, 1, 1], [8, 3, 18, 26], [3, 9, 15, 20], [3, 10, 23, 16], [11, 3, 11, 1], [3, 16, 15, 4], [3, 17, 26, 12], [3, 21, 1, 8], [3, 23, 4, 1], [3, 4, 23, 12], [4, 4, 11, 4], [4, 5, 4, 24], [4, 8, 11, 8], [4, 13, 11, 16], [4, 23, 7, 1], [6, 5, 23, 7], [5, 9, 18, 17], [5, 13, 18, 4]]
22;52.357;[[29, 29], [3, 3, 13, 16], [3, 4, 1, 26], [3, 5, 6, 1], [3, 6, 13, 10], [3, 7, 9, 19], [3, 8, 27, 19], [3, 9, 17, 1], [10, 3, 20, 27], [3, 11, 24, 1], [3, 15, 20, 12], [3, 18, 27, 1], [3, 20, 6, 6], [3, 4, 4, 26], [4, 4, 12, 19], [5, 4, 7, 26], [4, 6, 20, 6], [4, 7, 12, 23], [4, 9, 13, 1], [4, 15, 23, 12], [4, 18, 9, 1], [4, 20, 16, 10], [4, 5, 20, 1], [5, 8, 1, 18], [5, 17, 1, 1]]
23;43.264;[[30, 30], [3, 3, 1, 9], [4, 3, 27, 1], [3, 5, 4, 1], [3, 6, 18, 25], [3, 7, 18, 1], [3, 8, 1, 1], [3, 9, 21, 22], [3, 10, 21, 12], [3, 11, 21, 1], [3, 13, 18, 12], [3, 14, 24, 17], [3, 16, 24, 1], [3, 19, 1, 12], [3, 25, 4, 6], [3, 4, 18, 8], [4, 4, 27, 13], [4, 6, 27, 25], [4, 8, 27, 17], [4, 9, 27, 4], [11, 30, 7, 1]]
24;41.487;[[31, 31], [3, 3, 29, 12], [4, 3, 22, 29], [3, 5, 1, 27], [3, 6, 19, 1], [3, 7, 29, 15], [3, 8, 19, 24], [3, 9, 4, 1], [3, 10, 29, 22], [3, 11, 29, 1], [3, 12, 1, 15], [3, 13, 19, 11], [3, 14, 1, 1], [3, 22, 4, 10], [3, 31, 26, 1], [3, 4, 19, 7], [4, 7, 22, 9], [4, 8, 22, 1], [4, 13, 22, 16], [12, 31, 7, 1]]
25;261.03;[[32, 32], [3, 3, 24, 12], [3, 4, 20, 5], [3, 5, 1, 28], [6, 3, 24, 30], [3, 7, 4, 26], [3, 8, 7, 1], [3, 9, 30, 1], [10, 3, 20, 27], [11, 3, 13, 30], [3, 12, 24, 15], [3, 13, 10, 5], [14, 3, 13, 9], [3, 15, 10, 18], [3, 18, 17, 12], [3, 22, 27, 1], [3, 23, 30, 10], [3, 24, 7, 9], [3, 25, 4, 1], [3, 27, 1, 1], [3, 4, 27, 23], [4, 4, 23, 5], [4, 5, 20, 22], [6, 4, 21, 1], [7, 4, 13, 5], [4, 10, 20, 12], [11, 4, 10, 1], [4, 18, 13, 12]]
26;116.443;[[33, 33], [3, 3, 28, 31], [3, 4, 25, 7], [5, 3, 26, 1], [6, 3, 25, 4], [3, 7, 15, 13], [3, 8, 25, 11], [3, 9, 15, 4], [10, 3, 8, 1], [3, 13, 8, 21], [3, 14, 15, 20], [3, 15, 25, 19], [3, 17, 8, 4], [3, 24, 28, 7], [3, 30, 22, 4], [3, 33, 31, 1], [4, 3, 22, 1], [4, 4, 18, 30], [4, 6, 11, 18], [4, 10, 11, 24], [4, 12, 18, 18], [4, 14, 11, 4], [4, 17, 18, 1], [7, 33, 1, 1]]
27;58.736;[[34, 34], [3, 3, 28, 1], [3, 4, 28, 12], [3, 5, 28, 16], [3, 6, 4, 29], [3, 7, 4, 1], [3, 8, 28, 4], [3, 9, 25, 1], [3, 10, 1, 25], [3, 11, 1, 14], [3, 12, 22, 23], [3, 13, 1, 1], [3, 14, 28, 21], [3, 21, 4, 8], [3, 22, 22, 1], [3, 25, 25, 10], [3, 34, 19, 1], [4, 4, 31, 1], [4, 5, 31, 16], [4, 11, 31, 5], [4, 14, 31, 21], [12, 34, 7, 1]]
28;83.981;[[35, 35], [3, 3, 28, 5], [3, 4, 4, 1], [5, 3, 31, 5], [3, 6, 1, 13], [3, 7, 1, 19], [3, 8, 4, 5], [3, 9, 7, 1], [3, 10, 1, 26], [3, 12, 1, 1], [3, 19, 4, 13], [3, 22, 7, 10], [4, 3, 28, 13], [4, 4, 32, 15], [4, 5, 28, 8], [6, 4, 4, 32], [4, 7, 32, 8], [4, 8, 24, 5], [12, 4, 24, 1], [4, 17, 32, 19], [4, 20, 28, 16], [4, 23, 24, 13], [14, 35, 10, 1]]
29;53.894;[[36, 36], [3, 3, 19, 1], [4, 3, 25, 1], [3, 5, 4, 32], [3, 6, 19, 4], [3, 7, 4, 15], [8, 3, 29, 1], [3, 9, 34, 28], [3, 10, 4, 22], [3, 11, 1, 17], [3, 12, 19, 25], [3, 14, 4, 1], [3, 15, 19, 10], [3, 16, 1, 1], [3, 24, 34, 4], [3, 36, 22, 1], [3, 4, 1, 33], [4, 11, 25, 4], [4, 22, 25, 15], [3, 5, 1, 28], [5, 4, 29, 4], [5, 14, 29, 23], [5, 15, 29, 8], [12, 36, 7, 1]]
