Instance;Time;Solution
20;12.151;[[27, 27], [3, 3, 11, 25], [3, 4, 11, 21], [3, 5, 22, 23], [3, 6, 25, 22], [3, 7, 1, 21], [3, 8, 4, 20], [3, 9, 19, 12], [3, 10, 22, 1], [3, 11, 19, 1], [3, 12, 22, 11], [3, 19, 4, 1], [3, 20, 1, 1], [3, 21, 25, 1], [4, 3, 18, 21], [4, 4, 18, 24], [4, 6, 15, 15], [4, 7, 14, 21], [4, 8, 7, 20], [4, 14, 15, 1], [4, 19, 7, 1], [4, 20, 11, 1]]
21;17.28;[[28, 28], [3, 3, 14, 1], [3, 4, 23, 1], [3, 5, 20, 1], [3, 6, 10, 14], [3, 7, 13, 22], [3, 8, 23, 21], [3, 9, 5, 20], [3, 10, 14, 4], [3, 11, 26, 18], [3, 16, 23, 5], [3, 17, 26, 1], [3, 21, 17, 1], [3, 23, 20, 6], [4, 3, 16, 22], [4, 4, 16, 25], [4, 5, 1, 24], [4, 8, 13, 14], [4, 13, 5, 1], [4, 23, 1, 1], [5, 6, 5, 14], [5, 9, 8, 20], [5, 13, 9, 1]]
22;23.89;[[29, 29], [3, 3, 27, 1], [3, 4, 13, 26], [3, 5, 20, 9], [3, 6, 27, 24], [3, 7, 24, 23], [3, 8, 20, 1], [3, 9, 20, 14], [3, 10, 13, 16], [3, 11, 6, 1], [3, 15, 13, 1], [3, 18, 6, 12], [3, 20, 27, 4], [4, 3, 16, 27], [4, 4, 23, 1], [4, 5, 9, 25], [4, 6, 16, 21], [4, 7, 20, 23], [4, 9, 9, 1], [4, 15, 9, 10], [4, 18, 23, 5], [4, 20, 16, 1], [5, 4, 1, 26], [5, 8, 1, 18], [5, 17, 1, 1]]
23;10.574;[[30, 30], [3, 3, 25, 24], [3, 4, 25, 27], [3, 5, 1, 26], [3, 6, 7, 25], [3, 7, 7, 18], [3, 8, 7, 10], [3, 9, 7, 1], [3, 10, 25, 14], [3, 11, 28, 1], [3, 13, 21, 1], [3, 14, 4, 1], [3, 16, 4, 15], [3, 19, 28, 12], [3, 25, 1, 1], [4, 3, 24, 5], [4, 4, 24, 1], [4, 6, 24, 8], [4, 8, 21, 14], [4, 9, 21, 22], [11, 30, 10, 1]]
24;9.126;[[31, 31], [3, 3, 22, 29], [3, 4, 26, 20], [3, 5, 26, 24], [3, 6, 7, 1], [3, 7, 26, 13], [3, 8, 4, 24], [3, 9, 1, 23], [3, 10, 4, 14], [3, 11, 7, 21], [3, 12, 26, 1], [3, 13, 4, 1], [3, 14, 7, 7], [3, 22, 1, 1], [3, 31, 29, 1], [4, 3, 25, 29], [4, 7, 22, 9], [4, 8, 22, 1], [4, 13, 22, 16], [12, 31, 10, 1]]
25;22.351;[[32, 32], [3, 3, 30, 26], [3, 4, 30, 29], [3, 5, 13, 28], [3, 6, 20, 27], [3, 7, 7, 1], [3, 8, 10, 1], [3, 9, 4, 24], [3, 10, 23, 1], [3, 11, 16, 1], [3, 12, 30, 14], [3, 13, 30, 1], [3, 14, 1, 1], [3, 15, 20, 12], [3, 18, 1, 15], [3, 22, 23, 11], [3, 23, 4, 1], [3, 24, 10, 9], [3, 25, 7, 8], [3, 27, 13, 1], [4, 3, 16, 30], [4, 4, 19, 1], [4, 5, 26, 11], [4, 6, 26, 16], [4, 7, 19, 5], [4, 10, 26, 1], [4, 11, 26, 22], [4, 18, 16, 12]]
26;22.355;[[33, 33], [3, 3, 21, 31], [3, 4, 15, 16], [3, 5, 28, 1], [3, 6, 8, 11], [3, 7, 28, 6], [3, 8, 24, 26], [3, 9, 18, 1], [3, 10, 12, 1], [3, 13, 24, 13], [3, 14, 15, 20], [3, 15, 15, 1], [3, 17, 8, 17], [3, 24, 18, 10], [3, 30, 21, 1], [3, 33, 31, 1], [4, 3, 27, 17], [4, 4, 27, 13], [4, 6, 11, 11], [4, 10, 8, 1], [4, 12, 24, 1], [4, 14, 27, 20], [4, 17, 11, 17], [7, 33, 1, 1]]
27;13.561;[[34, 34], [3, 3, 29, 32], [3, 4, 5, 6], [3, 5, 5, 1], [3, 6, 29, 1], [3, 7, 1, 28], [3, 8, 1, 10], [3, 9, 26, 1], [3, 10, 1, 18], [3, 11, 26, 24], [3, 12, 8, 23], [3, 13, 23, 1], [3, 14, 26, 10], [3, 21, 23, 14], [3, 22, 8, 1], [3, 25, 29, 7], [3, 34, 32, 1], [4, 4, 1, 6], [4, 5, 1, 1], [4, 11, 4, 24], [4, 14, 4, 10], [12, 34, 11, 1]]
28;10.293;[[35, 35], [3, 3, 25, 23], [3, 4, 1, 1], [3, 5, 1, 31], [3, 6, 8, 18], [3, 7, 1, 5], [3, 8, 4, 10], [3, 9, 4, 1], [3, 10, 25, 26], [3, 12, 8, 24], [3, 19, 1, 12], [3, 22, 25, 1], [4, 3, 28, 33], [4, 4, 28, 21], [4, 5, 4, 31], [4, 6, 4, 25], [4, 7, 4, 18], [4, 8, 28, 25], [4, 12, 32, 1], [4, 17, 7, 1], [4, 20, 28, 1], [4, 23, 32, 13], [14, 35, 11, 1]]
29;15.025;[[36, 36], [3, 3, 25, 26], [3, 4, 28, 8], [3, 5, 1, 32], [3, 6, 10, 1], [3, 7, 28, 1], [3, 8, 25, 29], [3, 9, 1, 23], [3, 10, 25, 1], [3, 11, 28, 26], [3, 12, 31, 25], [3, 14, 28, 12], [3, 15, 25, 11], [3, 16, 10, 7], [3, 24, 31, 1], [3, 36, 34, 1], [4, 3, 4, 23], [4, 11, 4, 26], [4, 22, 1, 1], [5, 3, 5, 5], [5, 4, 5, 1], [5, 14, 8, 23], [5, 15, 5, 8], [12, 36, 13, 1]]
30;45.951;[[37, 37], [3, 3, 25, 1], [3, 4, 35, 10], [3, 5, 32, 33], [3, 6, 1, 32], [3, 7, 35, 14], [3, 8, 6, 1], [3, 9, 35, 1], [3, 11, 1, 21], [3, 12, 6, 9], [3, 13, 25, 25], [3, 14, 32, 1], [3, 17, 35, 21], [3, 18, 32, 15], [3, 21, 25, 4], [4, 3, 4, 35], [4, 4, 4, 31], [4, 5, 28, 11], [4, 6, 9, 1], [4, 10, 28, 1], [4, 22, 28, 16], [4, 24, 9, 7], [5, 3, 8, 31], [5, 4, 8, 34], [5, 6, 1, 1], [5, 10, 4, 21], [5, 14, 1, 7], [12, 37, 13, 1]]
31;12.788;[[38, 38], [3, 3, 5, 12], [3, 4, 32, 22], [3, 5, 36, 8], [3, 6, 1, 33], [3, 7, 36, 1], [3, 8, 5, 15], [3, 9, 32, 13], [3, 10, 1, 23], [3, 11, 1, 1], [3, 13, 32, 26], [4, 3, 35, 36], [4, 5, 1, 12], [4, 6, 1, 17], [4, 8, 35, 13], [4, 11, 4, 1], [4, 12, 32, 1], [4, 15, 35, 21], [4, 16, 4, 23], [24, 38, 8, 1]]
32;112.809;[[39, 40], [3, 3, 32, 1], [3, 4, 9, 24], [3, 5, 9, 36], [3, 6, 4, 26], [3, 7, 1, 1], [3, 8, 32, 15], [3, 9, 1, 23], [3, 10, 4, 2], [3, 11, 32, 4], [3, 15, 1, 8], [4, 3, 32, 23], [4, 4, 5, 37], [4, 5, 31, 36], [4, 6, 4, 20], [4, 8, 4, 12], [4, 9, 1, 32], [4, 12, 8, 12], [4, 15, 36, 22], [4, 16, 27, 25], [5, 3, 35, 19], [5, 4, 35, 37], [5, 5, 27, 14], [5, 6, 27, 19], [5, 8, 7, 28], [5, 10, 31, 26], [5, 11, 7, 1], [5, 13, 27, 1], [5, 18, 35, 1], [15, 39, 12, 1]]
33;13.639;[[40, 40], [3, 3, 5, 31], [3, 4, 1, 11], [3, 5, 33, 36], [3, 6, 33, 10], [3, 7, 5, 34], [3, 8, 33, 28], [3, 9, 33, 1], [3, 10, 1, 1], [3, 12, 38, 16], [3, 16, 5, 15], [3, 40, 30, 1], [4, 4, 1, 15], [4, 14, 4, 1], [4, 22, 1, 19], [5, 3, 36, 9], [5, 4, 36, 12], [5, 8, 36, 1], [5, 12, 33, 16], [5, 13, 36, 28], [22, 40, 8, 1]]
34;17.435;[[15, 40], [3, 11, 7, 14], [3, 13, 13, 19], [2, 9, 14, 32], [2, 7, 3, 25], [3, 9, 11, 32], [3, 7, 13, 12], [2, 11, 1, 14], [2, 13, 1, 25], [4, 11, 12, 1], [4, 13, 6, 1], [5, 3, 1, 38], [2, 11, 10, 1], [2, 2, 11, 25], [3, 11, 10, 14], [3, 2, 10, 12], [4, 5, 3, 14], [4, 6, 3, 19], [2, 12, 9, 25], [2, 1, 9, 37], [5, 3, 6, 38], [5, 13, 1, 1], [4, 12, 5, 25], [4, 1, 5, 37], [2, 5, 11, 27], [2, 6, 3, 32]]
35;19.853;[[15, 40], [2, 11, 9, 11], [3, 2, 5, 25], [7, 10, 9, 1], [4, 8, 8, 22], [5, 9, 1, 27], [2, 7, 7, 3], [1, 4, 11, 15], [1, 6, 8, 16], [5, 4, 11, 11], [3, 8, 5, 16], [3, 1, 5, 24], [5, 5, 1, 36], [1, 3, 11, 19], [4, 12, 12, 15], [2, 6, 7, 10], [4, 2, 5, 1], [4, 11, 10, 30], [2, 10, 5, 6], [2, 3, 5, 3], [2, 11, 14, 30], [4, 3, 12, 27], [4, 26, 1, 1], [4, 8, 6, 33], [2, 3, 8, 30], [2, 6, 6, 27]]
36;19.581;[[15, 40], [7, 12, 3, 13], [7, 7, 7, 34], [1, 7, 13, 17], [1, 5, 15, 29], [2, 3, 2, 6], [2, 6, 1, 35], [2, 7, 14, 17], [2, 5, 13, 29], [1, 3, 1, 10], [1, 6, 3, 35], [6, 12, 4, 1], [6, 9, 7, 25], [2, 12, 1, 13], [2, 7, 14, 34], [3, 10, 10, 15], [1, 4, 1, 6], [1, 5, 3, 1], [3, 16, 13, 1], [3, 5, 13, 24], [2, 4, 2, 9], [2, 5, 1, 1], [3, 10, 1, 25], [3, 9, 10, 1], [3, 16, 4, 25], [3, 5, 10, 10]]
37;111.163;[[30, 60], [5, 7, 1, 54], [5, 14, 21, 1], [8, 14, 1, 1], [8, 4, 1, 15], [13, 21, 9, 19], [11, 7, 6, 40], [11, 14, 6, 47], [5, 14, 1, 40], [5, 4, 17, 15], [3, 18, 28, 1], [3, 21, 6, 19], [11, 17, 17, 40], [11, 4, 20, 57], [4, 7, 22, 15], [4, 5, 14, 1], [7, 6, 14, 6], [5, 18, 9, 1], [5, 3, 26, 19], [3, 7, 14, 12], [3, 5, 18, 1], [4, 18, 27, 22], [4, 3, 17, 12], [2, 12, 26, 7], [2, 6, 26, 1], [5, 18, 22, 22], [5, 21, 1, 19], [3, 17, 28, 40], [3, 4, 17, 57]]
38;245.605;[[30, 60], [6, 18, 1, 36], [2, 12, 29, 34], [10, 7, 8, 54], [4, 23, 11, 1], [4, 1, 8, 26], [7, 7, 1, 54], [11, 4, 7, 50], [6, 5, 25, 56], [2, 7, 29, 27], [6, 11, 1, 25], [10, 19, 1, 1], [11, 5, 18, 26], [4, 2, 8, 27], [7, 5, 1, 20], [4, 2, 11, 24], [7, 12, 24, 1], [7, 13, 24, 13], [3, 6, 8, 20], [6, 10, 25, 46], [9, 16, 15, 10], [1, 4, 7, 25], [4, 10, 25, 36], [6, 24, 12, 26], [9, 9, 15, 1], [2, 1, 29, 26], [8, 5, 21, 31], [3, 5, 18, 31], [7, 25, 18, 36], [5, 21, 7, 29]]
39;45.11;[[30, 60], [9, 24, 1, 15], [9, 8, 18, 36], [9, 11, 18, 1], [9, 17, 18, 44], [4, 24, 24, 12], [4, 8, 27, 36], [1, 6, 27, 6], [1, 5, 30, 1], [4, 17, 27, 44], [3, 6, 7, 39], [3, 5, 27, 1], [12, 5, 12, 17], [12, 13, 3, 48], [14, 14, 10, 22], [2, 14, 4, 1], [2, 2, 22, 15], [8, 3, 7, 45], [8, 9, 10, 36], [12, 14, 6, 1], [12, 2, 10, 15], [6, 3, 18, 12], [6, 9, 1, 39], [2, 5, 10, 17], [2, 13, 1, 48], [3, 18, 28, 18], [3, 14, 1, 1], [3, 16, 15, 45], [3, 12, 28, 6]]
40;423.956;[[60, 91], [34, 6, 1, 78], [13, 3, 22, 75], [13, 5, 38, 60], [10, 12, 45, 35], [10, 12, 22, 58], [6, 7, 1, 21], [6, 15, 1, 6], [25, 7, 36, 1], [25, 15, 36, 8], [21, 12, 34, 23], [16, 7, 45, 47], [16, 5, 1, 84], [21, 3, 17, 42], [21, 5, 22, 70], [5, 7, 34, 35], [5, 5, 49, 68], [4, 1, 13, 27], [4, 10, 57, 28], [6, 13, 32, 54], [12, 13, 24, 1], [12, 9, 10, 8], [23, 6, 38, 54], [7, 3, 23, 14], [7, 5, 1, 1], [2, 1, 53, 85], [2, 10, 59, 69], [6, 6, 17, 22], [6, 5, 43, 68], [14, 7, 8, 1], [14, 6, 33, 84], [16, 3, 38, 65], [16, 5, 13, 17], [14, 6, 47, 86], [14, 5, 17, 84], [14, 13, 17, 45], [3, 2, 10, 17], [3, 7, 55, 79], [11, 2, 33, 90], [11, 7, 43, 73], [6, 7, 30, 14], [6, 6, 23, 22], [33, 14, 1, 28], [12, 4, 43, 80], [12, 3, 1, 89], [16, 18, 1, 42], [12, 3, 13, 89], [12, 18, 1, 60], [4, 4, 13, 23], [4, 3, 33, 67], [3, 1, 56, 60], [3, 2, 19, 58], [6, 9, 55, 38], [6, 9, 7, 19], [6, 1, 39, 35], [6, 2, 37, 68], [5, 7, 29, 21], [5, 18, 54, 61], [3, 9, 7, 10], [3, 9, 39, 36], [9, 18, 13, 60], [6, 5, 55, 23], [6, 2, 47, 84], [2, 12, 22, 2], [2, 9, 55, 28], [8, 3, 25, 89], [8, 9, 35, 75], [10, 9, 32, 45], [3, 5, 51, 60], [3, 2, 44, 90], [3, 18, 42, 36], [3, 7, 58, 79], [2, 3, 31, 86], [2, 9, 59, 60]]
