Instance;Time;Solution
20;3.4220516681671143;[[27, 27], [3, 3, 1, 6], [3, 4, 4, 13], [3, 5, 1, 1], [3, 6, 7, 22], [3, 7, 17, 1], [3, 8, 14, 20], [3, 9, 14, 1], [3, 10, 14, 10], [3, 11, 4, 17], [3, 12, 4, 1], [3, 19, 1, 9], [3, 20, 17, 8], [3, 21, 7, 1], [4, 3, 20, 1], [4, 4, 20, 18], [4, 6, 20, 22], [4, 7, 10, 21], [4, 8, 24, 20], [4, 14, 20, 4], [4, 19, 24, 1], [4, 20, 10, 1]]
21;4.70499062538147;[[28, 28], [3, 3, 4, 1], [3, 4, 7, 9], [3, 5, 14, 24], [3, 6, 4, 4], [3, 7, 17, 1], [3, 8, 7, 1], [3, 9, 4, 10], [3, 10, 4, 19], [3, 11, 1, 18], [3, 16, 7, 13], [3, 17, 1, 1], [3, 21, 17, 8], [3, 23, 10, 1], [4, 3, 25, 26], [4, 4, 25, 14], [4, 5, 10, 24], [4, 8, 25, 18], [4, 13, 25, 1], [4, 23, 13, 1], [5, 6, 20, 23], [5, 9, 20, 14], [5, 13, 20, 1]]
22;41.015342473983765;[[29, 29], [3, 3, 27, 27], [3, 4, 24, 11], [3, 5, 1, 8], [3, 6, 27, 21], [3, 7, 1, 1], [3, 8, 1, 13], [3, 9, 1, 21], [3, 10, 24, 1], [3, 11, 21, 1], [3, 15, 24, 15], [3, 18, 21, 12], [3, 20, 27, 1], [4, 3, 4, 1], [4, 4, 17, 19], [4, 5, 8, 1], [4, 6, 4, 24], [4, 7, 17, 23], [4, 9, 8, 6], [4, 15, 8, 15], [4, 18, 17, 1], [4, 20, 4, 4], [5, 4, 12, 26], [5, 8, 12, 18], [5, 17, 12, 1]]
23;3.7532198429107666;[[30, 30], [3, 3, 1, 1], [3, 4, 25, 27], [3, 5, 28, 26], [3, 6, 4, 25], [3, 7, 7, 10], [3, 8, 1, 23], [3, 9, 7, 1], [3, 10, 25, 1], [3, 11, 4, 14], [3, 13, 4, 1], [3, 14, 7, 17], [3, 16, 25, 11], [3, 19, 1, 4], [3, 25, 28, 1], [4, 3, 21, 1], [4, 4, 21, 21], [4, 6, 21, 25], [4, 8, 21, 13], [4, 9, 21, 4], [11, 30, 10, 1]]
24;2.994906425476074;[[31, 31], [3, 3, 26, 29], [3, 4, 29, 28], [3, 5, 7, 8], [3, 6, 26, 23], [3, 7, 7, 1], [3, 8, 7, 24], [3, 9, 1, 1], [3, 10, 1, 22], [3, 11, 7, 13], [3, 12, 1, 10], [3, 13, 29, 15], [3, 14, 29, 1], [3, 22, 26, 1], [3, 31, 4, 1], [4, 3, 22, 1], [4, 7, 22, 17], [4, 8, 22, 24], [4, 13, 22, 4], [12, 31, 10, 1]]
25;69.79826784133911;[[32, 32], [3, 3, 1, 13], [3, 4, 1, 29], [3, 5, 14, 28], [3, 6, 20, 27], [3, 7, 4, 1], [3, 8, 23, 25], [3, 9, 17, 1], [3, 10, 7, 23], [3, 11, 20, 1], [3, 12, 1, 1], [3, 13, 1, 16], [3, 14, 26, 19], [3, 15, 20, 12], [3, 18, 26, 1], [3, 22, 11, 1], [3, 23, 17, 10], [3, 24, 23, 1], [3, 25, 4, 8], [3, 27, 14, 1], [4, 3, 29, 30], [4, 4, 29, 26], [4, 5, 7, 1], [4, 6, 7, 17], [4, 7, 29, 1], [4, 10, 10, 23], [4, 11, 7, 6], [4, 18, 29, 8]]
26;4.268621444702148;[[33, 33], [3, 3, 11, 31], [3, 4, 5, 30], [3, 5, 5, 1], [3, 6, 8, 1], [3, 7, 24, 1], [3, 8, 27, 1], [3, 9, 24, 8], [3, 10, 27, 9], [3, 13, 8, 7], [3, 14, 8, 20], [3, 15, 27, 19], [3, 17, 24, 17], [3, 24, 5, 6], [3, 30, 11, 1], [3, 33, 21, 1], [4, 3, 1, 1], [4, 4, 1, 4], [4, 6, 30, 1], [4, 10, 30, 24], [4, 12, 1, 22], [4, 14, 1, 8], [4, 17, 30, 7], [7, 33, 14, 1]]
27;4.906676292419434;[[34, 34], [3, 3, 25, 1], [3, 4, 4, 31], [3, 5, 4, 26], [3, 6, 32, 1], [3, 7, 32, 7], [3, 8, 1, 1], [3, 9, 25, 4], [3, 10, 22, 1], [3, 11, 22, 11], [3, 12, 1, 23], [3, 13, 22, 22], [3, 14, 1, 9], [3, 21, 32, 14], [3, 22, 25, 13], [3, 25, 4, 1], [3, 34, 7, 1], [4, 4, 28, 1], [4, 5, 28, 30], [4, 11, 28, 19], [4, 14, 28, 5], [12, 34, 10, 1]]
28;3.0989537239074707;[[35, 35], [3, 3, 1, 26], [3, 4, 1, 1], [3, 5, 25, 31], [3, 6, 4, 30], [3, 7, 1, 29], [3, 8, 29, 23], [3, 9, 1, 5], [3, 10, 4, 20], [3, 12, 1, 14], [3, 19, 4, 1], [3, 22, 29, 1], [4, 3, 7, 1], [4, 4, 7, 32], [4, 5, 28, 31], [4, 6, 32, 30], [4, 7, 25, 1], [4, 8, 7, 4], [4, 12, 32, 18], [4, 17, 32, 1], [4, 20, 7, 12], [4, 23, 25, 8], [14, 35, 11, 1]]
29;4.976606607437134;[[36, 36], [3, 3, 31, 1], [3, 4, 31, 4], [3, 5, 28, 1], [3, 6, 34, 19], [3, 7, 28, 6], [3, 8, 34, 1], [3, 9, 25, 28], [3, 10, 34, 9], [3, 11, 25, 1], [3, 12, 34, 25], [3, 14, 31, 23], [3, 15, 31, 8], [3, 16, 25, 12], [3, 24, 28, 13], [3, 36, 1, 1], [4, 3, 9, 34], [4, 11, 9, 23], [4, 22, 9, 1], [5, 3, 4, 34], [5, 4, 4, 1], [5, 14, 4, 20], [5, 15, 4, 5], [12, 36, 13, 1]]
30;15.183313846588135;[[37, 37], [3, 3, 28, 35], [3, 4, 1, 34], [3, 5, 31, 33], [3, 6, 5, 28], [3, 7, 28, 28], [3, 8, 25, 30], [3, 9, 1, 19], [3, 11, 31, 1], [3, 12, 25, 18], [3, 13, 28, 15], [3, 14, 28, 1], [3, 17, 25, 1], [3, 18, 1, 1], [3, 21, 31, 12], [4, 3, 4, 25], [4, 4, 4, 34], [4, 5, 34, 1], [4, 6, 1, 28], [4, 10, 34, 28], [4, 22, 34, 6], [4, 24, 4, 1], [5, 3, 8, 35], [5, 4, 8, 11], [5, 6, 8, 29], [5, 10, 8, 1], [5, 14, 8, 15], [12, 37, 13, 1]]
31;2.8028767108917236;[[38, 38], [3, 3, 33, 28], [3, 4, 36, 6], [3, 5, 36, 1], [3, 6, 33, 12], [3, 7, 36, 19], [3, 8, 29, 31], [3, 9, 36, 10], [3, 10, 33, 18], [3, 11, 33, 1], [3, 13, 36, 26], [4, 3, 32, 31], [4, 5, 32, 34], [4, 6, 29, 17], [4, 8, 29, 23], [4, 11, 1, 1], [4, 12, 1, 27], [4, 15, 1, 12], [4, 16, 29, 1], [24, 38, 5, 1]]
32;149.52918648719788;[[39, 39], [3, 3, 33, 1], [3, 4, 33, 36], [3, 5, 37, 13], [3, 6, 5, 1], [3, 7, 37, 29], [3, 8, 5, 7], [3, 9, 33, 4], [3, 10, 10, 15], [3, 11, 37, 18], [3, 15, 5, 25], [4, 3, 1, 1], [4, 4, 36, 36], [4, 5, 1, 35], [4, 6, 33, 30], [4, 8, 33, 22], [4, 9, 33, 13], [4, 12, 36, 1], [4, 15, 1, 20], [4, 16, 1, 4], [5, 3, 8, 1], [5, 4, 8, 36], [5, 5, 8, 25], [5, 6, 8, 30], [5, 8, 28, 32], [5, 10, 5, 15], [5, 11, 8, 4], [5, 13, 28, 1], [5, 18, 28, 14], [15, 39, 13, 1]]
33;3.8164665699005127;[[40, 40], [3, 3, 1, 33], [3, 4, 1, 1], [3, 5, 1, 36], [3, 6, 4, 17], [3, 7, 4, 10], [3, 8, 4, 33], [3, 9, 4, 1], [3, 10, 4, 23], [3, 12, 1, 5], [3, 16, 1, 17], [3, 40, 7, 1], [4, 4, 37, 23], [4, 14, 37, 27], [4, 22, 37, 1], [5, 3, 32, 17], [5, 4, 32, 13], [5, 8, 32, 33], [5, 12, 32, 1], [5, 13, 32, 20], [22, 40, 10, 1]]
34;77.75559711456299;[[15, 40], [3, 11, 5, 1], [3, 13, 10, 4], [2, 9, 6, 26], [2, 7, 4, 31], [3, 9, 13, 8], [3, 7, 13, 1], [2, 11, 14, 17], [2, 13, 6, 12], [4, 11, 1, 1], [4, 13, 12, 28], [5, 3, 8, 1], [2, 11, 12, 17], [2, 2, 8, 4], [3, 11, 1, 25], [3, 2, 1, 36], [4, 5, 8, 36], [4, 6, 8, 30], [2, 12, 8, 6], [2, 1, 10, 17], [5, 3, 1, 38], [5, 13, 1, 12], [4, 12, 8, 18], [4, 1, 4, 25], [2, 5, 4, 26], [2, 6, 6, 35]]
35;10.62222671508789;[[15, 40], [2, 11, 1, 20], [3, 2, 13, 1], [7, 10, 9, 14], [4, 8, 1, 1], [5, 9, 3, 27], [2, 7, 3, 20], [1, 4, 13, 3], [1, 6, 12, 1], [5, 4, 9, 10], [3, 8, 9, 1], [3, 1, 9, 9], [5, 5, 3, 36], [1, 3, 9, 24], [4, 12, 12, 24], [2, 6, 8, 35], [4, 2, 12, 39], [4, 11, 1, 9], [2, 10, 1, 31], [2, 3, 10, 24], [2, 11, 14, 3], [4, 3, 12, 36], [4, 26, 5, 1], [4, 8, 8, 27], [2, 3, 12, 7], [2, 6, 10, 35]]
36;4.888766050338745;[[15, 40], [7, 12, 3, 13], [7, 7, 3, 6], [1, 7, 9, 25], [1, 5, 9, 1], [2, 3, 1, 8], [2, 6, 1, 23], [2, 7, 1, 29], [2, 5, 3, 1], [1, 3, 15, 32], [1, 6, 15, 35], [6, 12, 10, 10], [6, 9, 10, 1], [2, 12, 1, 11], [2, 7, 1, 1], [3, 10, 13, 22], [1, 4, 12, 37], [1, 5, 5, 1], [3, 16, 6, 25], [3, 5, 12, 32], [2, 4, 13, 37], [2, 5, 1, 36], [3, 10, 10, 22], [3, 9, 9, 32], [3, 16, 3, 25], [3, 5, 6, 1]]
37;60.510669231414795;[[30, 60], [5, 7, 26, 40], [5, 14, 26, 47], [8, 14, 20, 5], [8, 4, 18, 57], [13, 21, 6, 19], [11, 7, 1, 40], [11, 14, 1, 47], [5, 14, 19, 19], [5, 4, 19, 33], [3, 18, 24, 22], [3, 21, 12, 40], [11, 17, 15, 40], [11, 4, 20, 1], [4, 7, 11, 7], [4, 5, 11, 14], [7, 6, 8, 1], [5, 18, 15, 1], [5, 3, 19, 37], [3, 7, 6, 7], [3, 5, 6, 14], [4, 18, 27, 22], [4, 3, 24, 19], [2, 12, 9, 7], [2, 6, 6, 1], [5, 18, 1, 1], [5, 21, 1, 19], [3, 17, 28, 5], [3, 4, 15, 57]]
38;306.0;[[30, 61], [6, 18, 1, 17], [2, 12, 24, 27], [10, 7, 21, 6], [4, 23, 1, 37], [4, 1, 24, 47], [7, 7, 7, 11], [11, 4, 20, 58], [6, 5, 1, 12], [2, 7, 24, 40], [6, 11, 1, 1], [10, 19, 7, 18], [11, 5, 20, 53], [4, 2, 1, 35], [7, 5, 21, 48], [4, 2, 1, 60], [7, 12, 14, 1], [7, 13, 24, 13], [3, 6, 28, 47], [6, 10, 7, 1], [9, 16, 5, 46], [1, 4, 21, 1], [4, 10, 20, 38], [6, 24, 14, 38], [9, 9, 5, 37], [2, 1, 24, 39], [8, 5, 22, 1], [3, 5, 14, 13], [7, 25, 17, 13], [5, 21, 26, 26]]
39;54.90819048881531;[[30, 60], [9, 24, 5, 1], [9, 8, 22, 53], [9, 11, 5, 42], [9, 17, 5, 25], [4, 24, 1, 6], [4, 8, 18, 53], [1, 6, 4, 47], [1, 5, 4, 1], [4, 17, 1, 30], [3, 6, 14, 47], [3, 5, 1, 1], [12, 5, 4, 53], [12, 13, 17, 1], [14, 14, 17, 14], [2, 14, 29, 28], [2, 2, 29, 42], [8, 3, 4, 58], [8, 9, 23, 44], [12, 14, 17, 30], [12, 2, 17, 28], [6, 3, 12, 58], [6, 9, 17, 44], [2, 5, 16, 53], [2, 13, 29, 1], [3, 18, 14, 1], [3, 14, 1, 47], [3, 16, 14, 31], [3, 12, 14, 19]]
40;342.61;[[60, 93], [34, 6, 17, 88], [13, 3, 42, 50], [13, 5, 19, 69], [10, 12, 45, 76], [10, 12, 28, 54], [6, 7, 4, 58], [6, 15, 37, 17], [25, 7, 22, 6], [25, 15, 12, 13], [21, 12, 13, 28], [16, 7, 1, 87], [16, 5, 45, 45], [21, 3, 1, 55], [21, 5, 40, 59], [5, 7, 56, 52], [5, 5, 25, 79], [4, 1, 51, 88], [4, 10, 1, 70], [6, 13, 55, 76], [12, 13, 49, 32], [12, 9, 48, 4], [23, 6, 38, 64], [7, 3, 1, 52], [7, 5, 54, 89], [2, 1, 55, 50], [2, 10, 59, 22], [6, 6, 43, 39], [6, 5, 39, 1], [14, 7, 34, 32], [14, 6, 47, 70], [16, 3, 45, 1], [16, 5, 23, 1], [14, 6, 42, 53], [14, 5, 19, 74], [14, 13, 5, 67], [3, 2, 30, 79], [3, 7, 18, 58], [11, 2, 27, 66], [11, 7, 1, 80], [6, 7, 12, 80], [6, 6, 22, 54], [33, 14, 9, 40], [12, 4, 18, 84], [12, 3, 10, 10], [16, 18, 43, 13], [12, 3, 1, 28], [12, 18, 33, 70], [4, 4, 39, 13], [4, 3, 1, 67], [3, 1, 39, 54], [3, 2, 51, 89], [6, 9, 1, 1], [6, 9, 21, 60], [6, 1, 4, 65], [6, 2, 32, 68], [5, 7, 17, 3], [5, 18, 4, 31], [3, 9, 10, 31], [3, 9, 1, 58], [9, 18, 1, 10], [6, 5, 19, 79], [6, 2, 17, 1], [2, 12, 10, 13], [2, 9, 38, 55], [8, 3, 1, 49], [8, 9, 10, 58], [10, 9, 7, 1], [3, 5, 42, 45], [3, 2, 45, 4], [3, 18, 1, 31], [3, 7, 30, 81], [2, 3, 19, 66], [2, 9, 59, 13]]
